"codmun";"pop65py_share";"itu_sus_per100k";"itu_sus_per100k_100km";"densidade"
"1";110001;0.059566346825394;0;5.2408917668502;3.27818282799339
"2";110002;0.0451350211292055;6.48971380362126;2.14860356115693;23.9842532741483
"3";110003;0.0632858156461791;0;6.80591570192812;4.13740002678126
"4";110004;0.0552571105547989;21.0874073032721;5.10286525884284;22.3610374352868
"5";110005;0.069308296024386;0;6.32459064087077;5.90809470772105
"6";110006;0.0674919894315679;0;6.32459064087077;11.1828594269017
"7";110007;0.0566049443672655;0;6.32459064087077;2.4726164346812
"8";110008;0.041657834149924;0;0;3.58018173407521
"9";110009;0.050986649610951;0;7.50913611560732;7.09312316540941
"10";110010;0.0492455095435825;0;0;1.84194996693719
"11";110011;0.0576071078454418;0;3.09214594928881;17.6395183905048
"12";110012;0.051465731120177;4.65228078065272;5.10018679434134;18.5462534050957
"13";110013;0.0427741062581563;0;0;4.59463620263548
"14";110014;0.0547346764502971;0;5.48182167025015;12.0134491441027
"15";110015;0.0603675560518048;0;1.76965049402743;18.448105185674
"16";110018;0.0568819150448584;0;5.87333181061768;5.83790262364323
"17";110020;0.0352049274017681;22.2833230099859;20.8224882873503;15.2395568184778
"18";110025;0.0671012754139632;0;4.84665389034849;11.0374673365691
"19";110026;0.0597582853886138;0;2.64917705207147;2.16750890757085
"20";110028;0.0570343928226365;0;4.98141310236181;37.5214008209135
"21";110029;0.070171391825334;0;5.27310278156172;5.66123112783813
"22";110030;0.0484899670428419;10.0146213471669;6.41255835428102;8.32949402307005
"23";110032;0.0433408067339273;0;0;3.07377035446278
"24";110033;0.0403882614498709;0;0;2.95453284037173
"25";110034;0.0634267885179544;0;4.8043912135692;4.86004669896794
"26";110037;0.0473346922040351;0;6.4208892931671;3.34160882789035
"27";110040;0.0493688994569516;0;3.03735073590669;7.91870645918165
"28";110045;0.0385250777579257;0;3.51871958820927;11.9226200919895
"29";110050;0.0636465653925266;0;5.03429614247058;10.3752937354614
"30";110060;0.0612369683409828;0;2.21834188451312;3.15530095658122
"31";110070;0.0320355672317923;0;3.65525704289705;4.07001151944869
"32";110080;0.0411885923607033;0;20.8224882873503;3.79653727979558
"33";110090;0.0697964427364876;0;4.52248239058419;3.49334315964433
"34";110092;0.0365041936846879;0;6.07039226874841;2.12338368973709
"35";110094;0.0286892927893554;0;3.03862966483915;6.26975635787871
"36";110100;0.0575944266289863;0;2.99537790148432;1.59747120013009
"37";110110;0.0507508630076308;0;17.2422116929783;2.5166724650748
"38";110120;0.056589488243693;0;4.97569167297266;12.2318104758528
"39";110130;0.0659606951661993;0;1.6063353867654;9.29627687467226
"40";110140;0.0542596275350259;0;2.60734825233171;8.12632224246108
"41";110143;0.0524038603666435;0;1.65899382024802;8.73098962366424
"42";110145;0.0435296959594925;0;5.81620783249321;2.33336197557719
"43";110146;0.0534535055543343;0;0;0.36427219628868
"44";110147;0.0705931697060821;0;5.66657851988969;4.85230116957133
"45";110148;0.0717812471675881;0;5.32345930215364;9.74804623675567
"46";110149;0.0370075011361191;0;0;1.81043994822153
"47";110150;0.046591899619446;0;0;3.14296655231675
"48";110155;0.0685532945273394;0;1.57951682580299;9.53089060781168
"49";110160;0.0552337407458891;0;2.76728810023543;4.77561568990445
"50";110170;0.0575843896570218;0;1.32850348510748;14.0228428684257
"51";110175;0.052833352041042;0;2.33843111316002;3.51758441341377
"52";110180;0.053931365112496;0;1.92352697906882;7.24673700081601
"53";120001;0.0411534447928099;0;6.65863594815949;8.3077380883242
"54";120005;0.0441751042287075;0;0;1.46758034600318
"55";120010;0.0544948671287698;0;0;6.59976177740102
"56";120013;0.0475842221696856;0;7.008661005934;3.33161002995516
"57";120017;0.0426062384353478;0;6.51296079197603;6.73101159654119
"58";120020;0.0438994614422569;0;0;9.98620977476041
"59";120025;0.048913497260291;0;0;10.9513775034461
